time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-02 00:00:00+00:00,0,0,1,1
2023-06-03 00:00:00+00:00,0,0,1,1
2023-06-04 00:00:00+00:00,1,1,0,0
2023-06-05 00:00:00+00:00,1,1,31,2
2023-06-06 00:00:00+00:00,1,1,48,3
2023-06-07 00:00:00+00:00,0,0,36,2
2023-06-08 00:00:00+00:00,3,2,36,2
2023-06-09 00:00:00+00:00,0,0,25,4
2023-06-12 00:00:00+00:00,1,1,0,0
2023-06-13 00:00:00+00:00,0,0,2,2
2023-06-14 00:00:00+00:00,1,1,4,3
2023-06-15 00:00:00+00:00,2,1,2,2
2023-06-16 00:00:00+00:00,0,0,16,4
2023-06-19 00:00:00+00:00,1,1,31,8
2023-06-20 00:00:00+00:00,15,6,59,5
2023-06-21 00:00:00+00:00,2,1,67,9
2023-06-22 00:00:00+00:00,10,5,61,6
2023-06-23 00:00:00+00:00,1,1,22,5
2023-06-24 00:00:00+00:00,0,0,1,1
2023-06-26 00:00:00+00:00,1,1,12,4
2023-06-27 00:00:00+00:00,0,0,15,4
2023-06-29 00:00:00+00:00,1,1,1,1
2023-06-30 00:00:00+00:00,0,0,7,1
2023-07-03 00:00:00+00:00,1,1,11,1
2023-07-04 00:00:00+00:00,0,0,4,2
2023-07-05 00:00:00+00:00,1,1,3,2
2023-07-06 00:00:00+00:00,0,0,39,16
2023-07-07 00:00:00+00:00,0,0,11,7
2023-07-08 00:00:00+00:00,0,0,1,1
2023-07-10 00:00:00+00:00,10,5,35,12
2023-07-11 00:00:00+00:00,0,0,23,13
2023-07-12 00:00:00+00:00,1,1,15,4
2023-07-13 00:00:00+00:00,1,1,12,1
2023-07-14 00:00:00+00:00,0,0,1,1
2023-07-17 00:00:00+00:00,1,1,8,5
2023-07-18 00:00:00+00:00,5,4,52,6
2023-07-19 00:00:00+00:00,0,0,4,2
2023-07-20 00:00:00+00:00,8,3,65,6
2023-07-21 00:00:00+00:00,0,0,152,7
2023-07-23 00:00:00+00:00,3,2,29,2
2023-07-24 00:00:00+00:00,2,2,56,11
2023-07-25 00:00:00+00:00,0,0,13,7
2023-07-26 00:00:00+00:00,0,0,4,3
2023-07-27 00:00:00+00:00,0,0,25,4
2023-07-28 00:00:00+00:00,3,2,40,10
2023-07-29 00:00:00+00:00,1,1,4,3
2023-07-30 00:00:00+00:00,1,1,0,0
2023-07-31 00:00:00+00:00,0,0,34,5
2023-08-01 00:00:00+00:00,0,0,4,1
2023-08-02 00:00:00+00:00,2,1,3,2
2023-08-03 00:00:00+00:00,0,0,9,2
2023-08-04 00:00:00+00:00,0,0,12,3
2023-08-05 00:00:00+00:00,0,0,1,1
2023-08-06 00:00:00+00:00,2,2,0,0
2023-08-08 00:00:00+00:00,1,1,27,9
2023-08-09 00:00:00+00:00,0,0,145,10
2023-08-10 00:00:00+00:00,2,1,20,6
2023-08-11 00:00:00+00:00,0,0,84,5
2023-08-14 00:00:00+00:00,0,0,60,6
2023-08-15 00:00:00+00:00,0,0,18,7
2023-08-16 00:00:00+00:00,0,0,83,7
2023-08-17 00:00:00+00:00,0,0,30,6
2023-08-18 00:00:00+00:00,0,0,15,6
2023-08-19 00:00:00+00:00,0,0,1,1
2023-08-20 00:00:00+00:00,0,0,1,1
2023-08-21 00:00:00+00:00,1,1,41,10
2023-08-22 00:00:00+00:00,0,0,11,5
2023-08-23 00:00:00+00:00,1,1,124,5
2023-08-24 00:00:00+00:00,0,0,42,7
2023-08-25 00:00:00+00:00,0,0,123,8
2023-08-26 00:00:00+00:00,0,0,8,3
2023-08-27 00:00:00+00:00,0,0,38,2
2023-08-28 00:00:00+00:00,4,2,82,8
2023-08-29 00:00:00+00:00,0,0,11,4
2023-08-30 00:00:00+00:00,1,1,0,0
2023-08-31 00:00:00+00:00,0,0,9,6
2023-09-01 00:00:00+00:00,0,0,5,1
2023-09-04 00:00:00+00:00,0,0,27,3
2023-09-05 00:00:00+00:00,0,0,2,1
2023-09-06 00:00:00+00:00,0,0,9,3
2023-09-07 00:00:00+00:00,0,0,7,3
2023-09-08 00:00:00+00:00,0,0,2,1
2023-09-09 00:00:00+00:00,0,0,2,1
2023-09-10 00:00:00+00:00,0,0,2,1
2023-09-11 00:00:00+00:00,0,0,12,3
2023-09-12 00:00:00+00:00,0,0,8,2
2023-09-13 00:00:00+00:00,13,5,48,5
