time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-05 00:00:00+00:00,0,0,2,1
2022-12-06 00:00:00+00:00,0,0,28,4
2022-12-07 00:00:00+00:00,2,1,1,1
2022-12-08 00:00:00+00:00,0,0,17,3
2022-12-11 00:00:00+00:00,0,0,1,1
2022-12-12 00:00:00+00:00,2,2,4,4
2022-12-13 00:00:00+00:00,0,0,1,1
2022-12-15 00:00:00+00:00,0,0,7,1
2022-12-16 00:00:00+00:00,0,0,5,3
2022-12-17 00:00:00+00:00,0,0,13,2
2022-12-21 00:00:00+00:00,0,0,1,1
2022-12-24 00:00:00+00:00,0,0,1,1
2022-12-27 00:00:00+00:00,0,0,1,1
2023-01-02 00:00:00+00:00,1,1,1,1
2023-01-04 00:00:00+00:00,0,0,5,2
2023-01-05 00:00:00+00:00,2,1,12,1
2023-01-06 00:00:00+00:00,0,0,17,3
2023-01-07 00:00:00+00:00,3,2,6,1
2023-01-08 00:00:00+00:00,0,0,5,2
2023-01-09 00:00:00+00:00,0,0,24,6
2023-01-10 00:00:00+00:00,0,0,2,2
2023-01-11 00:00:00+00:00,0,0,3,1
2023-01-12 00:00:00+00:00,0,0,4,2
2023-01-13 00:00:00+00:00,1,1,0,0
2023-01-16 00:00:00+00:00,1,1,1,1
2023-01-17 00:00:00+00:00,0,0,4,2
2023-01-18 00:00:00+00:00,0,0,24,6
2023-01-19 00:00:00+00:00,1,1,4,2
2023-01-20 00:00:00+00:00,0,0,24,5
2023-01-22 00:00:00+00:00,0,0,1,1
2023-01-23 00:00:00+00:00,0,0,27,2
2023-01-24 00:00:00+00:00,0,0,6,5
2023-01-25 00:00:00+00:00,1,1,43,14
2023-01-26 00:00:00+00:00,0,0,2,1
2023-01-27 00:00:00+00:00,0,0,9,4
2023-01-30 00:00:00+00:00,0,0,33,6
2023-01-31 00:00:00+00:00,1,1,8,5
2023-02-01 00:00:00+00:00,2,1,16,5
2023-02-02 00:00:00+00:00,0,0,2,2
2023-02-03 00:00:00+00:00,0,0,5,2
2023-02-04 00:00:00+00:00,0,0,13,3
2023-02-05 00:00:00+00:00,0,0,3,1
2023-02-06 00:00:00+00:00,0,0,8,1
2023-02-08 00:00:00+00:00,2,2,28,4
2023-02-09 00:00:00+00:00,1,1,11,3
